id,date,time,what_i_did,user_id
59,2025-05-01,8:31-9:00,Play,The G.O.A.T
60,2025-05-01,9:01-9:20,do UCMAS,The G.O.A.T
61,2025-05-01,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
62,2025-05-01,10:31-11:00,Do anything,The G.O.A.T
63,2025-05-01,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
64,2025-05-01,12:01-1:00,Eat,The G.O.A.T
65,2025-05-01,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
66,2025-05-01,2:01-3:30,anything,The G.O.A.T
67,2025-05-01,3:30-6:00,Home work,The G.O.A.T
68,2025-05-01,6:01-7:30,Watch,The G.O.A.T
69,2025-05-01,7:31-8:30,Dinner,The G.O.A.T
70,2025-05-01,8:31-9:20,Try to sleep,The G.O.A.T
71,2025-05-02,7:30-7:59,Woke up brushed made bed,The G.O.A.T
72,2025-05-02,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
73,2025-05-02,8:31-9:00,Play,The G.O.A.T
74,2025-05-02,9:01-9:20,do UCMAS,The G.O.A.T
75,2025-05-02,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
76,2025-05-02,10:31-11:00,Do anything,The G.O.A.T
77,2025-05-02,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
78,2025-05-02,12:01-1:00,Eat,The G.O.A.T
79,2025-05-02,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
80,2025-05-02,2:01-3:30,anything,The G.O.A.T
81,2025-05-02,3:30-6:00,Home work,The G.O.A.T
82,2025-05-02,6:01-7:30,Watch,The G.O.A.T
83,2025-05-02,7:31-8:30,Dinner,The G.O.A.T
84,2025-05-02,8:31-9:20,Try to sleep,The G.O.A.T
85,2025-05-03,7:30-7:59,Woke up brushed made bed,The G.O.A.T
86,2025-05-03,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
87,2025-05-03,8:31-9:00,Play,The G.O.A.T
88,2025-05-03,9:01-9:20,do UCMAS,The G.O.A.T
89,2025-05-03,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
90,2025-05-03,10:31-11:00,Do anything,The G.O.A.T
91,2025-05-03,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
92,2025-05-03,12:01-1:00,Eat,The G.O.A.T
93,2025-05-03,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
94,2025-05-03,2:01-3:30,anything,The G.O.A.T
95,2025-05-03,3:30-6:00,Home work,The G.O.A.T
96,2025-05-03,6:01-7:30,Watch,The G.O.A.T
97,2025-05-03,7:31-8:30,Dinner,The G.O.A.T
98,2025-05-03,8:31-9:20,Try to sleep,The G.O.A.T
99,2025-05-04,7:30-7:59,Woke up brushed made bed,The G.O.A.T
100,2025-05-04,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
101,2025-05-04,8:31-9:00,Play,The G.O.A.T
102,2025-05-04,9:01-9:20,do UCMAS,The G.O.A.T
103,2025-05-04,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
104,2025-05-04,10:31-11:00,Do anything,The G.O.A.T
105,2025-05-04,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
106,2025-05-04,12:01-1:00,Eat,The G.O.A.T
107,2025-05-04,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
108,2025-05-04,2:01-3:30,anything,The G.O.A.T
109,2025-05-04,3:30-6:00,Home work,The G.O.A.T
110,2025-05-04,6:01-7:30,Watch,The G.O.A.T
111,2025-05-04,7:31-8:30,Dinner,The G.O.A.T
112,2025-05-04,8:31-9:20,Try to sleep,The G.O.A.T
113,2025-05-05,7:30-7:59,Woke up brushed made bed,The G.O.A.T
114,2025-05-05,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
115,2025-05-05,8:31-9:00,Play,The G.O.A.T
116,2025-05-05,9:01-9:20,do UCMAS,The G.O.A.T
117,2025-05-05,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
118,2025-05-05,10:31-11:00,Do anything,The G.O.A.T
119,2025-05-05,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
120,2025-05-05,12:01-1:00,Eat,The G.O.A.T
121,2025-05-05,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
122,2025-05-05,2:01-3:30,anything,The G.O.A.T
123,2025-05-05,3:30-6:00,Home work,The G.O.A.T
124,2025-05-05,6:01-7:30,Watch,The G.O.A.T
125,2025-05-05,7:31-8:30,Dinner,The G.O.A.T
126,2025-05-05,8:31-9:20,Try to sleep,The G.O.A.T
127,2025-05-06,7:30-7:59,Woke up brushed made bed,The G.O.A.T
128,2025-05-06,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
129,2025-05-06,8:31-9:00,Play,The G.O.A.T
130,2025-05-06,9:01-9:20,do UCMAS,The G.O.A.T
131,2025-05-06,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
132,2025-05-06,10:31-11:00,Do anything,The G.O.A.T
133,2025-05-06,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
134,2025-05-06,12:01-1:00,Eat,The G.O.A.T
135,2025-05-06,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
136,2025-05-06,2:01-3:30,anything,The G.O.A.T
137,2025-05-06,3:30-6:00,Home work,The G.O.A.T
138,2025-05-06,6:01-7:30,Watch,The G.O.A.T
139,2025-05-06,7:31-8:30,Dinner,The G.O.A.T
140,2025-05-06,8:31-9:20,Try to sleep,The G.O.A.T
141,2025-05-07,7:30-7:59,Woke up brushed made bed,The G.O.A.T
142,2025-05-07,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
143,2025-05-07,8:31-9:00,Play,The G.O.A.T
144,2025-05-07,9:01-9:20,do UCMAS,The G.O.A.T
145,2025-05-07,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
146,2025-05-07,10:31-11:00,Do anything,The G.O.A.T
147,2025-05-07,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
148,2025-05-07,12:01-1:00,Eat,The G.O.A.T
149,2025-05-07,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
150,2025-05-07,2:01-3:30,anything,The G.O.A.T
151,2025-05-07,3:30-6:00,Home work,The G.O.A.T
152,2025-05-07,6:01-7:30,Watch,The G.O.A.T
153,2025-05-07,7:31-8:30,Dinner,The G.O.A.T
154,2025-05-07,8:31-9:20,Try to sleep,The G.O.A.T
155,2025-05-08,7:30-7:59,Woke up brushed made bed,The G.O.A.T
156,2025-05-08,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
157,2025-05-08,8:31-9:00,Play,The G.O.A.T
158,2025-05-08,9:01-9:20,do UCMAS,The G.O.A.T
159,2025-05-08,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
160,2025-05-08,10:31-11:00,Do anything,The G.O.A.T
161,2025-05-08,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
162,2025-05-08,12:01-1:00,Eat,The G.O.A.T
163,2025-05-08,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
164,2025-05-08,2:01-3:30,anything,The G.O.A.T
165,2025-05-08,3:30-6:00,Home work,The G.O.A.T
166,2025-05-08,6:01-7:30,Watch,The G.O.A.T
167,2025-05-08,7:31-8:30,Dinner,The G.O.A.T
168,2025-05-08,8:31-9:20,Try to sleep,The G.O.A.T
169,2025-05-09,7:30-7:59,Woke up brushed made bed,The G.O.A.T
170,2025-05-09,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
171,2025-05-09,8:31-9:00,Play,The G.O.A.T
172,2025-05-09,9:01-9:20,do UCMAS,The G.O.A.T
173,2025-05-09,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
174,2025-05-09,10:31-11:00,Do anything,The G.O.A.T
175,2025-05-09,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
176,2025-05-09,12:01-1:00,Eat,The G.O.A.T
177,2025-05-09,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
178,2025-05-09,2:01-3:30,anything,The G.O.A.T
179,2025-05-09,3:30-6:00,Home work,The G.O.A.T
180,2025-05-09,6:01-7:30,Watch,The G.O.A.T
181,2025-05-09,7:31-8:30,Dinner,The G.O.A.T
182,2025-05-09,8:31-9:20,Try to sleep,The G.O.A.T
183,2025-05-10,7:30-7:59,Woke up brushed made bed,The G.O.A.T
184,2025-05-10,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
185,2025-05-10,8:31-9:00,Play,The G.O.A.T
186,2025-05-10,9:01-9:20,do UCMAS,The G.O.A.T
187,2025-05-10,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
188,2025-05-10,10:31-11:00,Do anything,The G.O.A.T
189,2025-05-10,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
190,2025-05-10,12:01-1:00,Eat,The G.O.A.T
191,2025-05-10,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
192,2025-05-10,2:01-3:30,anything,The G.O.A.T
193,2025-05-10,3:30-6:00,Home work,The G.O.A.T
194,2025-05-10,6:01-7:30,Watch,The G.O.A.T
195,2025-05-10,7:31-8:30,Dinner,The G.O.A.T
196,2025-05-10,8:31-9:20,Try to sleep,The G.O.A.T
197,2025-05-11,7:30-7:59,Woke up brushed made bed,The G.O.A.T
198,2025-05-11,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
199,2025-05-11,8:31-9:00,Play,The G.O.A.T
200,2025-05-11,9:01-9:20,do UCMAS,The G.O.A.T
201,2025-05-11,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
202,2025-05-11,10:31-11:00,Do anything,The G.O.A.T
203,2025-05-11,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
204,2025-05-11,12:01-1:00,Eat,The G.O.A.T
205,2025-05-11,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
206,2025-05-11,2:01-3:30,anything,The G.O.A.T
207,2025-05-11,3:30-6:00,Home work,The G.O.A.T
208,2025-05-11,6:01-7:30,Watch,The G.O.A.T
209,2025-05-11,7:31-8:30,Dinner,The G.O.A.T
210,2025-05-11,8:31-9:20,Try to sleep,The G.O.A.T
211,2025-05-12,7:30-7:59,Woke up brushed made bed,The G.O.A.T
212,2025-05-12,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
213,2025-05-12,8:31-9:00,Play,The G.O.A.T
214,2025-05-12,9:01-9:20,do UCMAS,The G.O.A.T
215,2025-05-12,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
216,2025-05-12,10:31-11:00,Do anything,The G.O.A.T
217,2025-05-12,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
218,2025-05-12,12:01-1:00,Eat,The G.O.A.T
219,2025-05-12,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
220,2025-05-12,2:01-3:30,anything,The G.O.A.T
221,2025-05-12,3:30-6:00,Home work,The G.O.A.T
222,2025-05-12,6:01-7:30,Watch,The G.O.A.T
223,2025-05-12,7:31-8:30,Dinner,The G.O.A.T
224,2025-05-12,8:31-9:20,Try to sleep,The G.O.A.T
225,2025-05-13,7:30-7:59,Woke up brushed made bed,The G.O.A.T
226,2025-05-13,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
227,2025-05-13,8:31-9:00,Play,The G.O.A.T
228,2025-05-13,9:01-9:20,do UCMAS,The G.O.A.T
229,2025-05-13,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
230,2025-05-13,10:31-11:00,Do anything,The G.O.A.T
231,2025-05-13,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
232,2025-05-13,12:01-1:00,Eat,The G.O.A.T
233,2025-05-13,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
234,2025-05-13,2:01-3:30,anything,The G.O.A.T
235,2025-05-13,3:30-6:00,Home work,The G.O.A.T
236,2025-05-13,6:01-7:30,Watch,The G.O.A.T
237,2025-05-13,7:31-8:30,Dinner,The G.O.A.T
238,2025-05-13,8:31-9:20,Try to sleep,The G.O.A.T
239,2025-05-14,7:30-7:59,Woke up brushed made bed,The G.O.A.T
240,2025-05-14,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
241,2025-05-14,8:31-9:00,Play,The G.O.A.T
242,2025-05-14,9:01-9:20,do UCMAS,The G.O.A.T
243,2025-05-14,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
244,2025-05-14,10:31-11:00,Do anything,The G.O.A.T
245,2025-05-14,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
246,2025-05-14,12:01-1:00,Eat,The G.O.A.T
247,2025-05-14,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
248,2025-05-14,2:01-3:30,anything,The G.O.A.T
249,2025-05-14,3:30-6:00,Home work,The G.O.A.T
250,2025-05-14,6:01-7:30,Watch,The G.O.A.T
251,2025-05-14,7:31-8:30,Dinner,The G.O.A.T
252,2025-05-14,8:31-9:20,Try to sleep,The G.O.A.T
253,2025-05-15,7:30-7:59,Woke up brushed made bed,The G.O.A.T
254,2025-05-15,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
255,2025-05-15,8:31-9:00,Play,The G.O.A.T
256,2025-05-15,9:01-9:20,do UCMAS,The G.O.A.T
257,2025-05-15,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
258,2025-05-15,10:31-11:00,Do anything,The G.O.A.T
259,2025-05-15,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
260,2025-05-15,12:01-1:00,Eat,The G.O.A.T
261,2025-05-15,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
262,2025-05-15,2:01-3:30,anything,The G.O.A.T
263,2025-05-15,3:30-6:00,Home work,The G.O.A.T
264,2025-05-15,6:01-7:30,Watch,The G.O.A.T
265,2025-05-15,7:31-8:30,Dinner,The G.O.A.T
266,2025-05-15,8:31-9:20,Try to sleep,The G.O.A.T
267,2025-05-16,7:30-7:59,Woke up brushed made bed,The G.O.A.T
268,2025-05-16,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
269,2025-05-16,8:31-9:00,Play,The G.O.A.T
270,2025-05-16,9:01-9:20,do UCMAS,The G.O.A.T
271,2025-05-16,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
272,2025-05-16,10:31-11:00,Do anything,The G.O.A.T
273,2025-05-16,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
274,2025-05-16,12:01-1:00,Eat,The G.O.A.T
275,2025-05-16,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
276,2025-05-16,2:01-3:30,anything,The G.O.A.T
277,2025-05-16,3:30-6:00,Home work,The G.O.A.T
278,2025-05-16,6:01-7:30,Watch,The G.O.A.T
279,2025-05-16,7:31-8:30,Dinner,The G.O.A.T
280,2025-05-16,8:31-9:20,Try to sleep,The G.O.A.T
281,2025-05-17,7:30-7:59,Woke up brushed made bed,The G.O.A.T
282,2025-05-17,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
283,2025-05-17,8:31-9:00,Play,The G.O.A.T
284,2025-05-17,9:01-9:20,do UCMAS,The G.O.A.T
285,2025-05-17,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
286,2025-05-17,10:31-11:00,Do anything,The G.O.A.T
287,2025-05-17,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
288,2025-05-17,12:01-1:00,Eat,The G.O.A.T
289,2025-05-17,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
290,2025-05-17,2:01-3:30,anything,The G.O.A.T
291,2025-05-17,3:30-6:00,Home work,The G.O.A.T
292,2025-05-17,6:01-7:30,Watch,The G.O.A.T
293,2025-05-17,7:31-8:30,Dinner,The G.O.A.T
294,2025-05-17,8:31-9:20,Try to sleep,The G.O.A.T
295,2025-05-18,7:30-7:59,Woke up brushed made bed,The G.O.A.T
296,2025-05-18,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
297,2025-05-18,8:31-9:00,Play,The G.O.A.T
298,2025-05-18,9:01-9:20,do UCMAS,The G.O.A.T
299,2025-05-18,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
300,2025-05-18,10:31-11:00,Do anything,The G.O.A.T
301,2025-05-18,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
302,2025-05-18,12:01-1:00,Eat,The G.O.A.T
303,2025-05-18,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
304,2025-05-18,2:01-3:30,anything,The G.O.A.T
305,2025-05-18,3:30-6:00,Home work,The G.O.A.T
306,2025-05-18,6:01-7:30,Watch,The G.O.A.T
307,2025-05-18,7:31-8:30,Dinner,The G.O.A.T
308,2025-05-18,8:31-9:20,Try to sleep,The G.O.A.T
309,2025-05-19,7:30-7:59,Woke up brushed made bed,The G.O.A.T
310,2025-05-19,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
311,2025-05-19,8:31-9:00,Play,The G.O.A.T
312,2025-05-19,9:01-9:20,do UCMAS,The G.O.A.T
313,2025-05-19,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
314,2025-05-19,10:31-11:00,Do anything,The G.O.A.T
315,2025-05-19,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
316,2025-05-19,12:01-1:00,Eat,The G.O.A.T
317,2025-05-19,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
318,2025-05-19,2:01-3:30,anything,The G.O.A.T
319,2025-05-19,3:30-6:00,Home work,The G.O.A.T
320,2025-05-19,6:01-7:30,Watch,The G.O.A.T
321,2025-05-19,7:31-8:30,Dinner,The G.O.A.T
322,2025-05-19,8:31-9:20,Try to sleep,The G.O.A.T
323,2025-05-20,7:30-7:59,Woke up brushed made bed,The G.O.A.T
324,2025-05-20,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
325,2025-05-20,8:31-9:00,Play,The G.O.A.T
326,2025-05-20,9:01-9:20,do UCMAS,The G.O.A.T
327,2025-05-20,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
328,2025-05-20,10:31-11:00,Do anything,The G.O.A.T
329,2025-05-20,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
330,2025-05-20,12:01-1:00,Eat,The G.O.A.T
331,2025-05-20,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
332,2025-05-20,2:01-3:30,anything,The G.O.A.T
333,2025-05-20,3:30-6:00,Home work,The G.O.A.T
334,2025-05-20,6:01-7:30,Watch,The G.O.A.T
335,2025-05-20,7:31-8:30,Dinner,The G.O.A.T
336,2025-05-20,8:31-9:20,Try to sleep,The G.O.A.T
337,2025-05-21,7:30-7:59,Woke up brushed made bed,The G.O.A.T
338,2025-05-21,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
339,2025-05-21,8:31-9:00,Play,The G.O.A.T
340,2025-05-21,9:01-9:20,do UCMAS,The G.O.A.T
341,2025-05-21,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
342,2025-05-21,10:31-11:00,Do anything,The G.O.A.T
343,2025-05-21,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
344,2025-05-21,12:01-1:00,Eat,The G.O.A.T
345,2025-05-21,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
346,2025-05-21,2:01-3:30,anything,The G.O.A.T
347,2025-05-21,3:30-6:00,Home work,The G.O.A.T
348,2025-05-21,6:01-7:30,Watch,The G.O.A.T
349,2025-05-21,7:31-8:30,Dinner,The G.O.A.T
350,2025-05-21,8:31-9:20,Try to sleep,The G.O.A.T
351,2025-05-22,7:30-7:59,Woke up brushed made bed,The G.O.A.T
352,2025-05-22,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
353,2025-05-22,8:31-9:00,Play,The G.O.A.T
354,2025-05-22,9:01-9:20,do UCMAS,The G.O.A.T
355,2025-05-22,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
356,2025-05-22,10:31-11:00,Do anything,The G.O.A.T
357,2025-05-22,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
358,2025-05-22,12:01-1:00,Eat,The G.O.A.T
359,2025-05-22,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
360,2025-05-22,2:01-3:30,anything,The G.O.A.T
361,2025-05-22,3:30-6:00,Home work,The G.O.A.T
362,2025-05-22,6:01-7:30,Watch,The G.O.A.T
363,2025-05-22,7:31-8:30,Dinner,The G.O.A.T
364,2025-05-22,8:31-9:20,Try to sleep,The G.O.A.T
365,2025-05-23,7:30-7:59,Woke up brushed made bed,The G.O.A.T
366,2025-05-23,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
367,2025-05-23,8:31-9:00,Play,The G.O.A.T
368,2025-05-23,9:01-9:20,do UCMAS,The G.O.A.T
369,2025-05-23,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
370,2025-05-23,10:31-11:00,Do anything,The G.O.A.T
371,2025-05-23,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
372,2025-05-23,12:01-1:00,Eat,The G.O.A.T
373,2025-05-23,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
374,2025-05-23,2:01-3:30,anything,The G.O.A.T
375,2025-05-23,3:30-6:00,Home work,The G.O.A.T
376,2025-05-23,6:01-7:30,Watch,The G.O.A.T
377,2025-05-23,7:31-8:30,Dinner,The G.O.A.T
378,2025-05-23,8:31-9:20,Try to sleep,The G.O.A.T
379,2025-05-24,7:30-7:59,Woke up brushed made bed,The G.O.A.T
380,2025-05-24,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
381,2025-05-24,8:31-9:00,Play,The G.O.A.T
382,2025-05-24,9:01-9:20,do UCMAS,The G.O.A.T
383,2025-05-24,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
384,2025-05-24,10:31-11:00,Do anything,The G.O.A.T
385,2025-05-24,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
386,2025-05-24,12:01-1:00,Eat,The G.O.A.T
387,2025-05-24,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
388,2025-05-24,2:01-3:30,anything,The G.O.A.T
389,2025-05-24,3:30-6:00,Home work,The G.O.A.T
390,2025-05-24,6:01-7:30,Watch,The G.O.A.T
391,2025-05-24,7:31-8:30,Dinner,The G.O.A.T
392,2025-05-24,8:31-9:20,Try to sleep,The G.O.A.T
393,2025-05-25,7:30-7:59,Woke up brushed made bed,The G.O.A.T
394,2025-05-25,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
395,2025-05-25,8:31-9:00,Play,The G.O.A.T
396,2025-05-25,9:01-9:20,do UCMAS,The G.O.A.T
397,2025-05-25,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
398,2025-05-25,10:31-11:00,Do anything,The G.O.A.T
399,2025-05-25,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
400,2025-05-25,12:01-1:00,Eat,The G.O.A.T
401,2025-05-25,1:01-2:00,eat if didn't eat from 12:01-1:00,The G.O.A.T
402,2025-05-25,2:01-3:30,anything,The G.O.A.T
403,2025-05-25,3:30-6:00,Home work,The G.O.A.T
404,2025-05-25,6:01-7:30,Watch,The G.O.A.T
405,2025-05-25,7:31-8:30,Dinner,The G.O.A.T
406,2025-05-25,8:31-9:20,Try to sleep,The G.O.A.T
407,2025-05-26,7:30-7:59,Woke up brushed made bed,The G.O.A.T
408,2025-05-26,8:00-8:30,Go downstairs and eat breakfast,The G.O.A.T
409,2025-05-26,8:31-9:00,Play,The G.O.A.T
410,2025-05-26,9:01-9:20,do UCMAS,The G.O.A.T
411,2025-05-26,9:21-10:30,Do anything like Watching drawing and More,The G.O.A.T
412,2025-05-26,10:31-11:00,Do anything,The G.O.A.T
413,2025-05-26,11:01-12:00,Maybe told to do homework or play outside.,The G.O.A.T
414,2025-05-26,12:01-1:00,Eat,The G.O.A.T
